Frage,Bibelstelle,Antwort
Ein Tier,"Mt 26,74",ein Hahn
An welchem Ort ist Paulus,"Phil 1,13",Gefängnis
Was ist wuchtig und voll Kraft,"2Kor 10,10",Die Briefe
Körperteile,"Mk 4,23",Ohren
Eine Farbe,"Mt 23,27",Weiß
Biblische Zahl,"Mk 1,13",40
Grundnahrungsmittel,"Lk 11,3",Brot
Macht man auch in der Schule,"Gal 6,11",Schreiben
Braucht man auf dem Bau,"1 Thess 5,9",Helm
Ist strafbar,Hebr 10.34,Raub
Eine Krankheit,"Mt 8,15",Fieber
Wem gehört die zerfallene Hütte,"Apg 15,16",David
Ein Gewürz,"Offb 18,13",Zimt
Wie heißt das Kind,"Lk 1,31",Jesus
Zwei Körperteile,"Mt 5,38","Auge , Zahn"
Häufige biblische Zahl,"Mt 4,2",40
Angesehener Beruf,"Mk 2,17",Arzt
Ist unangenehm,"Lk 22,24",Streit
Was ist Gott,"1 Kor 1,9",Treu
Was soll man ablegen,"Eph 4,25",Lüge
Was fressen die Vögel,"Mk 4,4",Körner
Was ist für Gott möglich,"Mt 19,26",Alles
Ich kann es in der Küche finden,"Lk 11,41",Schüsseln
In jedem Zimmer zu finden,"Joh 10,9",Tür
Wie viel opfert die arme Witwe,"Mk 12,42",2 kl. Münzen
Große Anzahl Soldaten,"Mt 26, 53",Legionen
Kleine Lebewesen,"Lk 13 ,19",Vögel
Brauchte jeder Ritter,"Eph 6,1",Rüstung
Schlechte Eigenschaft,"Hebr 13,5",Habgier
Sind aus Gold,"Jak 2,2",Ringe
Welche Farbe hat der Kranz,"Offb 14,14",Gold
Ein beliebtes Urlaubsland,"Röm 15,24",Spanien
Häufiger Beruf zur Zeit Jesu,"Mt 13,48",Fischer
Hohes Fest im Judentum,"Joh 13,1",Paschafest
"Großer, schwerer Gegenstand","Mk 16,4",Stein
Zeiteinheit,"Mk 14,37",Stunde
Lasst darin nicht nach,"Kol 4,2",Beten
Insel,"Tit 1,5",Kreta
Letztes Wort im Petrusbrief,1 Petr,Amen
Kleines Naturwunder,"Offb 10,1",Regenbogen
In jeder Wohnung zu finden,"Lk 22,14",Tisch
Transportmittel,"Mk 1,20",Boot
Bekommt man erst später,"Apg 7,54",Zähne
Was werden sie gewinnen,"Lk 21,19",Das Leben
Wichtiges Nahrungsmittel,"Mt 5,13",Salz
Gegenstand aus Holz,"Mt 27,32",Kreuz
Körperteil,"Mt 28,9",Füße
Angeborene Behinderung,"Joh 9,1",Blindheit
Geheimes Versteck,"LK 19,46",Räuberhöhle
Die Liebe tut nichts …?,"Röm 13,10",Böses
Bei uns als Drei Könige bekannt,"Mt2,1",Sterndeuter
Hilfsmittel für Kranke,"MK 2,12",Tragbahre
Stinkt,"Lk 14,35",Misthaufen
Darauf kann man schreiben,"Joh 19,20",Schild
Braucht man im Leben,"Apg 23,11",Mut
Was war in den 7 Körben?,"Mk 8,8",Brot
Leben am Bauernhof,"Lk 15,16",Schweine
Gibt’s vor den Ferien,"Joh 21,24",Zeugnis
"Gut, wenn man es nicht hat","Apg 4,34",Not
Zahl der Kapitel bei Mk,Mk,16
Lebenswichtiges Organ,"2Kor 9,7",Herz
Sechste Frucht des Geistes,"Gal 5,22",Güte
Sehr unbeliebt bei Schülern,"Lk 22,28",Prüfungen
Man freut sich darüber,"Phil 3,7",Gewinn
Lebensfeindlicher Ort,"Mk 1,3",Wüste
Beruf im Freien,"Joh 10,11",Hirte
Was hat geholfen,"Lk 17,19",Glaube
Erstes Transportmittel Jesu,"Joh 12,14",Esel
Letztes Wort im NT,Offb,Allen
Wie viele Verse hat Joh 6,Joh,71 Verse
Wie viel lässt er zurück,"Lk 15,4",99
Man hat eine Menge davon,"Joh 20,27",Finger
Isst man hier normal nicht,"Mt 3,4",Heuschrecken
Babys brauchen eine Menge,"Lk 2,12",Windeln
Gehen oft sehr weit,"Joh 12,20",Pilger
Tier unter Naturschutz,"Joh 10,12",Wolf
Kann man öffnen und schließen,"Lk 24,31",Augen
Auch du bist es,"Mt 3,16",Getauft
Es war am Anfang,"Joh 1,1",Das Wort
Kürzestes Buch im NT,--,Philemon
Was heisst Tabita auf deutsch?,"Apg 9,36",Gazelle
